id,,dana's annotations,carrie's annotations,agreement,adjudicated,84
443,"Addressing the challenges in the auto industry requires us to balance these two responsibilities. If we were to allow the free market to take its course now, it would almost certainly lead to disorderly bankruptcy and liquidation for the automakers. Under ordinary economic circumstances, I would say this is the price that failed companies must pay -- and I would not favor intervening to prevent the automakers from going out of business.

But these are not ordinary circumstances. In the midst of a financial crisis and a recession, allowing the U.S. auto industry to collapse is not a responsible course of action. The question is how we can best give it a chance to succeed. Some argue the wisest path is to allow the auto companies to reorganize through Chapter 11 provisions of our bankruptcy laws -- and provide federal loans to keep them operating while they try to restructure under the supervision of a bankruptcy court. But given the current state of the auto industry and the economy, Chapter 11 is unlikely to work for American automakers at this time.",Pessimistic,Pessimistic,TRUE,Pessimistic,
444,"I'm congresswoman Lisa Blunt Rochester. In some history class in the future children are learning about this moment, they're learning about our pain our grief our worry, but they're also learning about a man named Joe Biden, about how he restored decency to our government and integrity to our democracy. They’re learning about how we conquered a pandemic, stood united for racial justice and built our economy back better than before. They're learning about how his leadership gave their generation a fighting chance. They're learning about us too, about the resolve and the unity we showed against the forces of hatred and division, about the work we will do over the next 11 weeks and about the night when despite our distance, we came together to nominate Joe Biden for President of the United States. A nomination I'm honored to second.",Neutral,Optimistic,FALSE,Optimistic,
445,"To the people of India, and Indian Americans all across the United States, I want to wish you a happy Indian Independence Day. On August 15, 1947, men and women all over India, rejoiced in the declaration of the independence of the country of India. Today, on August 15, 2020, I stand before you, as the first candidate for vice president of the United States, o f South Asian descent. When my mother, Shyamala, stepped off the plane in California at 19 years old, she did not have much in the way of belongings – but she carried with her lessons from back home. Including ones she learned from her parents, my grandmother, Rajam, and her father and my grandfather, P.V. Gopalan. They taught her that, when you see injustice in the world, you have an obligation to do something about it. Which is what inspired my mother, to march and shout on the streets of Oakland, at the height of the civil rights movement. A movement whose leaders, including Dr Martin Luther King Jr., were themselves inspired by the nonviolent activism of Mahatma Gandhi. And it was during those protests that my mother met my father – and the rest as they say, is history.",Neutral,Optimistic,FALSE,Neutral,
446,"Now despite the scars I carry from that, I also have learned some valuable lessons. And most importantly, that in order to answer any question about what we can do better to provide healthcare for all of our citizens in a cost effective quality driven way, we first have to establish a consensus in America. That this is a goal we intend to achieve together. We have to reach that consensus among providers, employers, employees, citizens, those who pay for, depend upon, and actually deliver healthcare services. And this consensus has to be strong enough to persuade decision makers in Washington and to overcome entrenched opposition among the forces that oppose change for ideological and corporate reasons.

Now the good news is that I think we are finally reaching consensus. I see businesses, labor, government and other stakeholders increasingly investing in quality care because they realize that it's not only good for individuals and families that it's also goof or our economy. We've begun to agree that there is an economic as well as a moral imperative to reign in costs and to extend coverage to all Americans. There's a practical imperative to improve quality -- to promote wellness and prevent illness wherever possible. And these are the key components of my health care plan--lowering costs for everyone, improving quality for everyone, and providing coverage for everyone. I list them as three interlocking goals because I think we cannot do one without doing all of them.",Optimistic,Optimistic,TRUE,Optimistic,
447,"Until a decision is announced, you should know this: I regard voting as the most sacred right of free men and women. We have not sacrificed and fought and toiled to protect that right so that now we can sit back and permit a barrier to come between a secret ballot and any citizen who makes a choice to cast it. Nothing—nothing will change that as long as I am in a position to uphold the Constitution of the United States.

In the months ahead, our dialog also will include tough and realistic questions about the role of the Federal Government in the black community. I'm not satisfied with its results, and I don't think you are either. And the failures of the past have been particularly hard on the minority poor, because their hopes have failed as surely as the Federal programs that built those hopes. But I must not be the only one who questions about government policies.",Pessimistic,Neutral,FALSE,Neutral,
448,"For years, I’ve worked closely with the president for farmers in Iowa and across the country. We scrapped Obama and Biden’s punishing Waters of the United States rule, which would have regulated about 97 percent of land in Iowa — in some cases, even puddles. It would have been a nightmare for farmers. The president delivered on major trade deals with Japan and the United States-Mexico-Canada Agreement. And, he implemented the sale of E15 fuel year-round. That means more choices for you at the pump, and more jobs for farmers in the heartland. This is something the Obama-Biden administration failed to do in eight years. In fact, I can’t recall an administration more hostile to farmers than Obama-Biden, unless you count the Biden-Harris ticket.",Neutral,Pessimistic,FALSE,Pessimistic,
449,"Well, you're not alone in feeling his presence. Presidents know about this, too. You've heard many times that during the first year of his Presidency, John F. Kennedy said to a group of Nobel laureates in the State Dining Room of the White House that there had not been such a collection of talent in that place since Jefferson dined there alone. [Laughter] And directly down the lawn and across the Ellipse from the White House are those ordered, classic lines of the Jefferson Memorial and the eyes of the 19-foot statue that gaze directly into the White House, a reminder to any of us who might occupy that mansion of the quality of mind and generosity of heart that once abided there and has been so rarely seen there again.

But it's not just students and Presidents, it is every American -- indeed, every human life ever touched by the daring idea of self-government -- that Mr. Jefferson has influenced. Yes, Mr. Jefferson was obliged to admit all previous attempts at popular government had proven themselves failures. But he believed that here on this continent, as one of his commentators put it, ``here was virgin soil, an abundance of land, no degrading poverty, a brave and intelligent people which had just vindicated its title to independence after a long struggle with the mightiest of European powers.''",Optimistic,Optimistic,TRUE,Optimistic,
450,"So we have a lot of work to do and I don't mean just in the presidential race. Let's be sure to elect Roy Copper the next Governor of North Carolina! He will always put the people of North Carolina first, and he will repeal HB2. Because he knows that discrimination is wrong, it's bad for business, and it is against North Carolina's values. And let's send Deborah Ross to the United States Senate! You know, she will be an independent voice for the working families of this state, and she will help break through the gridlock in Washington. And unlike her opponent, Deborah Ross has never been afraid to stand up to Donald Trump. And remember that it isn't just Roy's name and Deborah's name or my name that's going to be on the ballot. So much that we care about, so much that is at stake in the election is too. Voting rights are at stake, and if you care about this sacred right, and want to make sure that our leaders—of both parties—do their part to protect and strengthen it not chip away at it, you've got to vote in this election. And so I hope after all North Carolina has gone through with the effort to suppress some people's votes, you will turn out in the biggest numbers ever to say, ""No. We demand the right to vote!""",Optimistic,Optimistic,TRUE,Optimistic,
451,"There's definitely one thing I know from doing those travels is that Iowans are working incredibly hard and we're playing by the rules. But Washington doesn't have our back and we deserve better.

Unfortunately my opponent, Congressman Young, doesn't think that and as a matter of fact he's so mired in the ways of Washington that unfortunately he's causing some of these problems. He's taken money from corporations and special interests and then turned around and voted in their favor, not ours.",Pessimistic,Pessimistic,TRUE,Pessimistic,
452,"Foreign policy is ultimately about security -- about defending our people, our society, and our values, such as freedom, tolerance, openness, and diversity. No place evokes these values better than American's cities. Here in New York, about a third of the population was born abroad. Across the street from here is St. Bartholomew's Protestant church. Go three blocks to the east from here and there is the Sutton Place Synagogue. Go a couple of blocks to the west, and you'll come to St. Patrick's Cathedral. Over the bridge in Queens, you'll find a Hindu temple. Go uptown a few blocks from where we are and you will come to the Manhattan Won Buddhist Temple on East 57th. And if you keep going north you will run into the Islamic Cultural Center on East 96th.

If you go further up and into the Bronx you will come to a neighborhood that used to be called ""Banana Kelly"" because it was a mix of immigrants from the Caribbean and from Ireland. And there, a Jamaican-American family raised the boy who grew up to become Secretary of State.",Neutral,Optimistic,FALSE,Optimistic,
453,"The United States was at peace with that nation and, at the solicitation of Japan, was still in conversation with its government and its emperor looking toward the maintenance of peace in the Pacific.

Indeed, one hour after Japanese air squadrons had commenced bombing in the American island of Oahu, the Japanese ambassador to the United States and his colleague delivered to our Secretary of State a formal reply to a recent American message. And while this reply stated that it seemed useless to continue the existing diplomatic negotiations, it contained no threat or hint of war or of armed attack.1",Pessimistic,Neutral,FALSE,Pessimistic,
454,"Finally, I believe in an America where religious intolerance will someday end—where all men and all churches are treated as equal—where every man has the same right to attend or not attend the church of his choice—where there is no Catholic vote, no anti-Catholic vote, no bloc voting of any kind—and where Catholics, Protestants and Jews, at both the lay and pastoral level, will refrain from those attitudes of disdain and division which have so often marred their works in the past, and promote instead the American ideal of brotherhood.
That is the kind of America in which I believe. And it represents the kind of Presidency in which I believe—a great office that must neither be humbled by making it the instrument of any one religious group nor tarnished by arbitrarily withholding its occupancy from the members of any one religious group. I believe in a President whose religious views are his own private affair, neither imposed by him upon the Nation or imposed by the Nation upon him as a condition to holding that office.",Optimistic,Optimistic,TRUE,Optimistic,
455,"I’ll tell you what’s already happened. To those who say it cannot happen, you just tell them this: it already happened, he won Iowa — it already happened, he won New Hampshire — it already happened, he won Nevada. And by doing all those things, Bernie Sanders has taken a stand. And Bernie Sanders has been taking a stand for a very long time. He has been consistent, he has been convicted, he has been committed and now it’s time. I’m here and you’re here because it’s time for us to take a stand with Bernie. It’s our turn now, just as it was the abolitionists’ turn and just as it was the suffragettes’ turn, just as it was the civil rights workers’ turn, just it is the turn of those who stand at Standing Rock, just it is the turn of all of those who are standing today. Today we’re not saying to forces of slavery, we’re not saying to forces of suppression of women, we’re not saying to forces of segregation, but we are saying to the forces — whatever those corporate aristocratic forces are — that would mitigate against liberty and justice for all. Whether it is the prison-industrial complex, whether it is the military-industrial complex, whether it is the pharmaceutical and whether it is the campaign media-industrial complex.",Optimistic,Optimistic,TRUE,Optimistic,
456,"So when we think about these challenges that our state is facing right now, I want us to remind ourselves of what we're capable of. Right now we're 18, 19, 20 on the list – on the rankings for education. Our teachers are leaving this state; our teachers are leaving the profession. Our students are leaving this state, vowing never to come back. Your grandkids are being born outside of the state of Iowa when you prefer for them to be born here right at home. We've got to interrupt that cycle folks, and there's something we can do about it. There's something we can do about it because it's a reasonable request to ask that our governor fully fund our education system so that our students, our students, have access to a limitless future. When our students graduate from high school, I want them to be set up to either have a job or go to college if that's their choice. And if they want a job, I only want them to have to work one folks to make ends meet. That's a reasonable request.

Unfortunately our current governor is being unreasonable. Couple weeks ago she signed a 2.55 increase on our state education budget – and we know our students, and our parents, and our teachers are worth more than that.",Pessimistic,Pessimistic,TRUE,Pessimistic,
457,"Because we acted, Saddam Hussein no longer fills fields with the remains of innocent men, women, and children. Because we acted, Saddam's torture chambers and rape rooms and children's prisons have been closed for good. Because we acted, Saddam's regime is no longer invading its neighbors or attacking them with chemical weapons and ballistic missiles. Because we acted, Saddam's regime is no longer paying the families of suicide bombers in the Holy Land. Because we acted, Saddam's regime is no longer shooting at American and British aircraft patrolling the no-fly zones and defying the will of the United Nations. Because we acted, the world is better and United States of America is safer.
When the Iraqi regime was removed, it did not lay down its arms and surrender. Instead, former regime elements took off their uniforms and faded into the countryside to fight the emergence of a free Iraq. And then they were joined by foreign terrorists who were seeking to stop the advance of liberty in the Middle East and seeking to establish safe havens from which to plot new attacks across the world.",Optimistic,Optimistic,TRUE,Optimistic,
458,"To all of our distinguished guests from all the services, to General Powell and the Joint Chiefs, Secretary Aspin, Mr. Vice President, ladies and gentlemen, and especially to General Johnston and the men and women of the Unified Task Force in Somalia.
General Johnston has just reported to me: Mission accomplished. And so, on behalf of all the American people, I say to you, General, and to all whom you brought with you: Welcome home, and thank you for a job very, very well done.
You represent the thousands who served in this crucial operation, in the First Marine Expeditionary Force, in the Army 10th Mountain Division, aboard the Navy's Tripoli Amphibious Ready Group, in the Air Force and Air National Guard airlift squadrons, and in other units in each of our services. Over 30,000 American military personnel served at sometime in these last 5 months in Somalia. And serving alongside you were thousands of others from 20 nations.",Optimistic,Optimistic,TRUE,Optimistic,
459,"My second purpose today is to provide you with additional information, to share with you what the United States knows about Iraq's weapons of mass destruction as well as Iraq's involvement in terrorism, which is also the subject of Resolution 1441 and other earlier resolutions.

I might add at this point that we are providing all relevant information we can to the inspection teams for them to do their work.

The material I will present to you comes from a variety of sources. Some are U.S. sources. And some are those of other countries. Some of the sources are technical, such as intercepted telephone conversations and photos taken by satellites. Other sources are people who have risked their lives to let the world know what Saddam Hussein is really up to.

I cannot tell you everything that we know. But what I can share with you, when combined with what all of us have learned over the years, is deeply troubling.",Neutral,Pessimistic,FALSE,Pessimistic,
460,"I offer my appreciation to Mayor Andrew Young who has provided such gracious hospitality to all of us this week.

And a special salute to President Jimmy Carter. President Carter restored honor to the White House after Watergate. He gave many of us a special opportunity to grow. For his kind words, for his unwavering commitment to peace in the world, and for the voters that came from his family, every member of his family, led by Billy and Amy, I offer my special thanks to the Carter family.",Optimistic,Optimistic,TRUE,Optimistic,
461,"Why does the  Children's Era still remain a dream of the dim and the distant future? Why has so little been accomplished? -- in spite of all our acknowledged love of children, all our generosity, all our good-will, all the enormous spending of millions on philanthropy and charities, all our warm-hearted sentiment, all our incessant activity and social consciousness? Why?

Before you can cultivate a garden, you must know something about gardening. You have got to give your seeds a proper soil in which to grow. You have got to give them sunlight and fresh air. You have got to give them space and the opportunity (if they are to lift their flowers to the sun), to strike their roots deep into that soil. And always -- do not forget this -- you have got to fight weeds. You cannot have a garden, if you let weeds overrun it. So, if we want to make this world a garden for children, we must first of all learn the lesson of the gardener.

So far we have not been gardeners. We have only been a sort of silly reception committee, a reception committee at the Grand Central Station of life. Trainload after trainload of children are coming in, day and night -- nameless refugees arriving out of the Nowhere into the Here. Trainload after trainload -- many unwelcome, unwanted, unprepared for, unknown, without baggage, without passports, most of them without pedigrees. These unlimited hordes of refugees arrive in such numbers that the reception committee is thrown into a panic -- a panic of activity. The reception committee arouses itself heroically, establishes emergency measures: milk stations, maternity centers, settlement houses, playgrounds, orphanages, welfare leagues, and every conceivable kind of charitable effort. But still trainloads of children keep on coming -- human weed crop up that spread so fast in this sinister struggle for existence, that the overworked committee becomes exhausted, inefficient, and can think of no way out.",Pessimistic,Optimistic,FALSE,Optimistic,
462,"The vast majority of New Orleans, Louisiana is under water. Tens of thousands of homes and businesses are beyond repair. A lot of the Mississippi Gulf Coast has been completely destroyed. Mobile is flooded. We are dealing with one of the worst natural disasters in our nation's history.

And that's why I've called the Cabinet together. The people in the affected regions expect the federal government to work with the state government and local government with an effective response. I have directed Secretary of Homeland Security Mike Chertoff to chair a Cabinet-level task force to coordinate all our assistance from Washington. FEMA Director Mike Brown is in charge of all federal response and recovery efforts in the field. I've instructed them to work closely with state and local officials, as well as with the private sector, to ensure that we're helping, not hindering, recovery efforts. This recovery will take a long time. This recovery will take years.",Pessimistic,Pessimistic,TRUE,Pessimistic,
463,"Life in the Peace Corps will not be easy. There will be no salary and allowances will be at a level sufficient only to maintain health and meet basic needs. Men and women will be expected to work and live alongside the nationals of the country in which they are stationed—doing the same work, eating the same food, talking the same language.
But if the life will not be easy, it will be rich and satisfying. For every young American who participates in the Peace Corps—who works in a foreign land—will know that he or she is sharing in the great common task of bringing to man that decent way of life which is the foundation of freedom and a condition of peace.",Optimistic,Optimistic,TRUE,Optimistic,
464,"And in March of last year, the Senate had voted on health care legislation at Christmas of 2009, and then in March of last year, we knew that the House was going to be voting on this legislation and we knew that Nancy Pelosi and friends would do anything to push this legislation through at all costs. They would violate the process, they would do whatever. So again, we wanted to bring Americans back to the capital to protest what was going on in our house, the House of Representatives. And we put out a call and within three days we had approximately 50,000 people here on the steps of the US Capitol screaming “kill the bill, kill the bill.” I mean they adjourned some committees because they said we were being so disruptive. Well on Sunday night, when everybody's gone back home to their families to go back to work and go back to school, we all know what happened. They passed some legislation, you know under the cover of darkness and- and here we have Obamacare.

Well that was a defeat for the movement, but you know what? We didn't give up. We were determined to fight harder and the movement continued to grow if people continue to become engaged. But the thing is, you know, we can have these rallies or protests till the end of time. It grows the movement, it brings attention to the movement, but- but if we truly want to effect change we have to do it at the ballot box. And that's what we did.",Optimistic,Pessimistic,FALSE,Pessimistic,
465,"E pluribus unum: out of many, one. It is more than a motto. It is the north star for our democracy. Now more than ever we need a president who will unite this country, we need a president who, in George Floyd's memory — instead of using the bible as a prop — will heed its words to act justly. We need a president for the workers who've lost their jobs because this administration is selling American workers out when we need to buy American. For the farmers and manufacturers and the people of rural America who are sick and tired of reaping what he's sown. We need a president who will look out for the seniors, like my dad, whose families now visit them through glass windows, never knowing if it will be the last time they see them. We need a president for all of America. I come from the middle of this country where we believe in people joining together to solve problems, we seek common ground to reach higher ground. That's been Joe Biden's life's work, he's a man of scrappy working-class roots, a man whose own hardships have only made him more determined to lift up those who have been left out. He understands redemption and he knows resilience. Joe Biden's a man of deep experience. Barack Obama — better known tonight as Michelle's husband — he leaned on Joe for his strength and decency and you can too.",Pessimistic,Pessimistic,TRUE,Pessimistic,
466,"I think this is a very hard time to be in the American political arena. I think the country is very factionalized. They call it tribes, I grew up in political life and never heard of tribes I heard of parties, I heard of parties working together, I heard a passing good legislation to integrate this nation, to make people more efficient and productive in their lives, and that was always the politics and the legislation that I understood and participated in. Now, I go to the Senate with 25 years under my belt.

When Joe Biden, some 20-plus years ago, asked me if I would be willing to be the first woman on the Senate Judiciary Committee, I said to him Joe I'm not a lawyer and he said that doesn't matter but things here have to change and that was following directly the Anita Hill hearings. Now maybe some of you are too young to remember this, but I happen to have been in an airport and I saw a big group of people around a television set, so I went over to take a look and what did I see, but an all-male Senate Judiciary Committee grilling Anita Hill and it was not nice and it was not what one would like to see. And that was my incentive to run in 1992. It became the year of the woman because both Barbara Boxer and I were elected from California, two women from Washington, and two women from Maine, and we broke the lock on power for women in the Senate of the United States.",Pessimistic,Optimistic,FALSE,Optimistic,
467,"This is not a fireside chat on war. It is a talk on national security; because the nub of the whole purpose of your President is to keep you now, and your children later, and your grandchildren much later, out of a last-ditch war for the preservation of American independence, and all of the things that American independence means to you and to me and to ours.

Tonight, in the presence of a world crisis, my mind goes back eight years to a night in the midst of a domestic crisis. It was a time when the wheels of American industry were grinding to a full stop, when the whole banking system of our country had ceased to function. I well remember that while I sat in my study in the White House, preparing to talk with the people of the United States, I had before my eyes the picture of all those Americans with whom I was talking. I saw the workmen in the mills, the mines, the factories, the girl behind the counter, the small shopkeeper, the farmer doing his spring plowing, the widows and the old men wondering about their life's savings. I tried to convey to the great mass of American people what the banking crisis meant to them in their daily lives.",Pessimistic,Optimistic,FALSE,Optimistic,
468,"For the families of the seven, we cannot bear, as you do, the full impact of this tragedy. But we feel the loss, and we're thinking about you so very much. Your loved ones were daring and brave, and they had that special grace, that special spirit that says, ""Give me a challenge, and I'll meet it with joy."" They had a hunger to explore the universe and discover its truths. They wished to serve, and they did. They served all of us.

We've grown used to wonders in this century. It's hard to dazzle us. But for twenty-five years the United States space program has been doing just that. We've grown used to the idea of space, and, perhaps we forget that we've only just begun. We're still pioneers. They, the members of the Challenger crew, were pioneers.",Optimistic,Optimistic,TRUE,Optimistic,
469,"We are on the threshold of a new century, a new millennium. What will the legacy of this vanishing century be? How will it be remembered in the new millennium? Surely it will be judged, and judged severely, in both moral and metaphysical terms. These failures have cast a dark shadow over humanity: two World Wars, countless civil wars, the senseless chain of assassinations (Gandhi, the Kennedys, Martin Luther King, Sadat, Rabin), bloodbaths in Cambodia and Algeria, India and Pakistan, Ireland and Rwanda, Eritrea and Ethiopia, Sarajevo and Kosovo; the inhumanity in the gulag and the tragedy of Hiroshima. And, on a different level, of course, Auschwitz and Treblinka. So much violence; so much indifference.

What is indifference? Etymologically, the word means ""no difference."" A strange and unnatural state in which the lines blur between light and darkness, dusk and dawn, crime and punishment, cruelty and compassion, good and evil. What are its courses and inescapable consequences? Is it a philosophy? Is there a philosophy of indifference conceivable? Can one possibly view indifference as a virtue? Is it necessary at times to practice it simply to keep one's sanity, live normally, enjoy a fine meal and a glass of wine, as the world around us experiences harrowing upheavals?",Neutral,Neutral,TRUE,Neutral,
470,"We are in a transitional period right now -- We are in a transitional period right now, fascinating and exhilarating times, learning to adjust to changes and the choices we, men and women, are facing. As an example, I remember what a friend said, on hearing her husband complain to his buddies that he had to babysit. Quickly setting him straight, my friend told her husband that when it's your own kids, it's not called babysitting.

Now maybe we should adjust faster; maybe we should adjust slower. But whatever the era twenty -- whatever the era, whatever the times, one thing will never change: fathers and mothers, if you have children, they must come first. You must read to your children, and you must hug your children, and you must love your children. Your success as a family, our success as a society, depends not on what happens in the White House, but on what happens inside your house.",Neutral,Neutral,TRUE,Neutral,
471,"Along with Secretary of the Interior Ryan Zinke and EPA Administrator Scott Pruitt. And we’ve been through our battles, Scott. Not with each other, with the world. And now the world is starting to say I think they’re right. (Laughter.) They’ll find out. We have no doubt. But all three of them strongly believe in putting America first, which is what I believe in, which is why I got elected. It’s called Make America Great Again—that’s what we’re doing—Make America Great Again.

We’re here today to usher in a new American energy policy—one that unlocks million and millions of jobs and trillions of dollars in wealth. For over 40 years, America was vulnerable to foreign regimes that used energy as an economic weapon. Americans’ quality of life was diminished by the idea that energy resources were too scarce to support our people. We always thought that, and actually at the time it was right to think. We didn’t think we had this tremendous wealth under our feet. Many of us remember the long gas lines and the constant claims that the world was running out of oil and natural gas.",Optimistic,Pessimistic,FALSE,Pessimistic,
472,"And so running for governor to keep New Hampshire safe, prosperous and free. And first that starts with making sure that the criminals know this is not the place where you're going to either traffic fentynal or harm our citizens and that's for my background as attorney general. Right now, we have a revolving door, especially in our largest city of Manchester. Speaking of Manchester, you know, one of the candidates running on the democratic end, Joyce Craig, she was endorsed by the governor of Massachusetts. Now we've asked Joyce, what's your position? Do you share governor Heely's positions on sanctuary cities because what's happening right now, in Massachusetts, we can never let it happen in New Hampshire.

You know, folks wanna go visit - thank you - people who wanna go to the army/navy game cannot find a hotel room because they're giving the hotel rooms to illegal immigrants right now, because they are inendated with illegal immigrants because they have sanctuary city policies. When I'm governor of the state of New Hampshire, there will be no sanctuary city policies. In fact, the sanctuary, the only sanctuary we're gonna have in New Hampshire, is for law-abiding citizens and we would love to have them here, who are here legally in this country.",Optimistic,Optimistic,TRUE,Optimistic,
473,"Like many of my fellow Millennials, I do not consider myself categorically Republican or Democrat. More than party affiliation, I vote based on what I believe is right for my family and for my country. Sometimes it's a tough choice. That is not the case this time; as the proud daughter of your nominee I am here to tell you that this is the moment and Donald Trump is the person to make America great again. [applause] Real change, the kind we have not seen in decades, is only going to come from outside the system, and it's only going to come from a man who has spent his entire life doing what others said could not be done.",Optimistic,Optimistic,TRUE,Optimistic,
474,"Because of trump 's failures of leaderships, our economy has taken one of the biggest hits out of all the major industrialized nations, with an unemployment rate that has tripled, as of today. This is what happens when we elect a guy, who just isn't up for the job. Our country ends up in tatters. And so does our reputation around the world. But let's be clear – this election is not just about defeating Donald Trump or Mike Pence. It's about building this country back, better. And that's exactly what Joe and I will do. We’ll create millions of jobs and fight climate change through a clean energy revolution; bring back critical supply chains, so the future is made in America. Build on the affordable care act so everyone has the peace of mind that comes with health insurance. And finally, offer caregivers the dignity, the respect, and the pay they deserve. We’ll protect a woman's right to make her own decisions about her own body; root out systemic racism in our justice system; and pass a new Voting Rights Act – a John Lewis Voting Rights Act – that will insure every voice is heard and every voice is counted.",Pessimistic,Pessimistic,TRUE,Pessimistic,
475,"Our challenge is twofold: first, to restore the American dream of opportunity and the American value of responsibility; and second, to bring our country together amid all our diversity into a stronger community, so that we can find common ground and move forward as one.
More than ever these two endeavors are inseparable. I am absolutely convinced we cannot restore economic opportunity or solve our social problems unless we find a way to bring the American people together. To bring our people together we must openly and honestly deal with the issues that divide us. Today I want to discuss one of those issues, affirmative action.",Neutral,Optimistic,FALSE,Neutral,
476,"Your Honor, ladies and gentlemen, my name is Elizabeth Gurley Flynn.  I am a defendant in this case, acting as my own attorney, and therefore have the opportunity to address you directly.  It is unusual for a defendant to represent one’s self, but my comrade, Mr. Pettis Perry and I have elected to do so.  Neither of us is a lawyer.  We will speak to you in the language of laymen and women, I should say.

We are both Communist leaders, proudly and avowedly.  We are qualified to explain to you what the Communist Party of the U.S.A. really stands for, what it advocates, what its day-by-day activities are, and what are its ultimate aims.  We will try to do so in simple, non-technical language.  We will prove to you that we are not a criminal conspiracy but a 33-year-old working class political party, devoted to the immediate needs and aspirations of the American people, to the advancement of the workers, farmers and the Negro people, to the preservation of the democracy and culture, and to the advocacy of Socialism.",Neutral,Neutral,TRUE,Neutral,
477,"If this be true, the time is past when we should say: ""Men and women of America, look upon that wonderful idea up there; see, one day it will come down."" Instead, the time has come to shout aloud in every city, village and hamlet, and in tones so clear and jubilant that they will reverberate from every mountain peak and echo from shore to shore: ""The woman's Hour has struck."" Suppose suffragists as a whole do not believe a crisis has come and do not extend their hands to grasp the victory, what will happen? Why, we shall all continue to work and our cause will continue to hang, waiting for those who possess a clearer vision and more daring enterprise. On the other hand, suppose we reach out with united earnestness and determination to grasp our victory while it still hangs a bit too high? Has any harm been done? None!

Therefore, fellow suffragists, I invite your attention to the signs which point to a crisis and your consideration of plans for turning the crisis into victory.",Optimistic,Neutral,FALSE,Neutral,
478,"We’re working on a summit.  And you know all about the summit.  It will be in Vietnam — Hanoi.  And we will — we’ll be meeting in Hanoi.  We’ll be meeting in Hanoi.  I think a lot of you will be going, I suspect.  And I hope we have the same good luck as we had in the first summit.  A lot was done in the first summit.  No more rockets going up.  No more missiles going up.  No more testing of nuclear.  Get back our remains, the remains of our great heroes from the Korean War.  And we got back our hostages.

But we hope we’re going to be very much equally as successful.  I’m in no rush for speed.  We just don’t want testing.  The sanctions, as you know, remain.  Everything is remaining.  China has been helping us, and Russia has been helping us.  And South Korea, I think you can say, has been — we’ve been working very closely with South Korea, with Japan.

But China, Russia, on the border, have really been at least partially living up to what they’re supposed to be doing.  And that’s okay — as per the United Nations.",Optimistic,Optimistic,TRUE,Optimistic,
479,"It has been a very moving experience for all of us. Five members of my Cabinet are here, the Secretaries of Agriculture, Health and Human Services, Housing and Urban Development, Transportation, and the Administrator of the Small Business Administration. The Secretary of the Army is here. We have all come, first of all, to see firsthand what it is you've been going through; secondly, to pledge to do our part to help make you whole; and thirdly, to tell you that we're for you. We have hardly ever seen such a remarkable demonstration of courage and commitment and cooperation and basic human strength, and we are very impressed and proud to be Americans when we see what you have done in the face of this terrible disaster.
We know that this rebuilding is going to be a long-term prospect, and we also know that there are some very immediate and pressing human needs that many people have. Before I left this morning, I took some steps I wanted to tell you about. First, I authorized James Lee Witt and the Federal Emergency Management Agency to provide 100 percent of the direct Federal assistance for all the emergency—[inaudible]—work going to be undertaken here.",Optimistic,Optimistic,TRUE,Optimistic,
480,"Throughout the long and difficult period of Watergate, I have felt it was my duty to persevere -- to make every possible effort to complete the term of office to which you elected me. In the past few days, however, it has become evident to me that I no longer have a strong enough political base in the Congress to justify continuing that effort. As long as there was such a base, I felt strongly that it was necessary to see the constitutional process through to its conclusion; that to do otherwise would be unfaithful to the spirit of that deliberately difficult process, and a dangerously destabilizing precedent for the future. But with the disappearance of that base, I now believe that the constitutional purpose has been served. And there is no longer a need for the process to be prolonged.",Neutral,neutral,TRUE,Neutral,
481,"Today I want to talk with you about our Nation's military involvement in Somalia. A year ago, we all watched with horror as Somali children and their families lay dying by the tens of thousands, dying the slow, agonizing death of starvation, a starvation brought on not only by drought, but also by the anarchy that then prevailed in that country.
This past weekend we all reacted with anger and horror as an armed Somali gang desecrated the bodies of our American soldiers and displayed a captured American pilot, all of them soldiers who were taking part in an international effort to end the starvation of the Somali people themselves. These tragic events raise hard questions about our effort in Somalia. Why are we still there? What are we trying to accomplish? How did a humanitarian mission turn violent? And when will our people come home?",Pessimistic,Pessimistic,TRUE,Pessimistic,
482,"You live in a defended island of freedom, but your life is part of the main. So let me ask you, as I close, to lift your eyes beyond the dangers of today, to the hopes of tomorrow, beyond the freedom merely of this city of Berlin, or your country of Germany, to the advance of freedom everywhere, beyond the wall to the day of peace with justice, beyond yourselves and ourselves to all mankind.

Freedom is indivisible, and when one man is enslaved, all are not free. When all are free, then we look -- can look forward to that day when this city will be joined as one and this country and this great Continent of Europe in a peaceful and hopeful globe. When that day finally comes, as it will, the people of West Berlin can take sober satisfaction in the fact that they were in the front lines for almost two decades.",Optimistic,Optimistic,TRUE,Optimistic,
483,"Listen, my run for congress, my public service has been about my mom, my son, your mom, and your dad, your children, and I just I’m gonna be there to make sure you get that Medicare check every day, and there are gonna be good jobs for young people like my son and of course, investing in our infrastructure, innovation, education so all of our young people have an opportunity.

And of course my run for congress has been about also making sure that the women of our country are going to be allowed to make their own personal healthcare decisions.",Optimistic,Neutral,FALSE,Optimistic,
